Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
4.24,-0.00405053,0.00323264,-0.00405051,0.00323263,-0.00405051,0.00323263
4.26,-0.0039422,0.00303025,-0.00394218,0.00303025,-0.00394218,0.00303025
4.28,-0.00381979,0.00282508,-0.00381977,0.00282507,-0.00381977,0.00282507
4.3,-0.00368454,0.00261801,-0.00368452,0.002618,-0.00368452,0.00261801
4.32,-0.0035377,0.00240992,-0.00353768,0.00240991,-0.00353768,0.00240991
4.34,-0.00338049,0.00220165,-0.00338047,0.00220164,-0.00338047,0.00220164
4.36,-0.00321414,0.00199401,-0.00321412,0.001994,-0.00321412,0.001994
4.38,-0.00303986,0.00178779,-0.00303985,0.00178779,-0.00303985,0.00178779
4.4,-0.00285885,0.00158375,-0.00285883,0.00158374,-0.00285883,0.00158374
4.42,-0.00267226,0.00138259,-0.00267224,0.00138258,-0.00267224,0.00138258
4.44,-0.00248124,0.00118499,-0.00248122,0.00118499,-0.00248122,0.00118499
4.46,-0.00228689,0.000991597,-0.00228688,0.000991591,-0.00228687,0.000991591
4.48,-0.0020903,0.000803003,-0.00209028,0.000802998,-0.00209028,0.000802998
4.5,-0.00189249,0.00061977,-0.00189248,0.000619765,-0.00189247,0.000619765
4.52,-0.00169447,0.000442413,-0.00169446,0.000442408,-0.00169446,0.000442408
4.54,-0.0014972,0.000271405,-0.00149718,0.0002714,-0.00149718,0.0002714
4.56,-0.00130158,0.000107178,-0.00130156,0.000107173,-0.00130156,0.000107174
4.58,-0.00110847,-4.9881e-05,-0.00110846,-4.98852e-05,-0.00110846,-4.9885e-05
4.6,-0.000918706,-0.000199427,-0.000918691,-0.000199431,-0.000918691,-0.000199431
4.62,-0.000733042,-0.00034116,-0.000733027,-0.000341163,-0.000733027,-0.000341163
4.64,-0.000552197,-0.00047482,-0.000552182,-0.000474823,-0.000552182,-0.000474823
4.66,-0.000376834,-0.000600192,-0.00037682,-0.000600195,-0.00037682,-0.000600195
4.68,-0.000207566,-0.000717101,-0.000207552,-0.000717104,-0.000207552,-0.000717104
4.7,-4.49515e-05,-0.000825414,-4.49379e-05,-0.000825417,-4.49375e-05,-0.000825417
4.72,0.000110504,-0.000925037,0.000110518,-0.000925039,0.000110518,-0.000925039
4.74,0.000258349,-0.00101592,0.000258362,-0.00101592,0.000258363,-0.00101592
4.76,0.000398184,-0.00109803,0.000398196,-0.00109804,0.000398196,-0.00109804
4.78,0.000529661,-0.00117141,0.000529673,-0.00117141,0.000529673,-0.00117141
4.8,0.000652485,-0.0012361,0.000652497,-0.0012361,0.000652497,-0.0012361
4.82,0.000766414,-0.00129219,0.000766425,-0.00129219,0.000766425,-0.00129219
4.84,0.000871252,-0.0013398,0.000871262,-0.0013398,0.000871263,-0.0013398
4.86,0.000966855,-0.00137908,0.000966865,-0.00137908,0.000966865,-0.00137908
4.88,0.00105312,-0.0014102,0.00105313,-0.0014102,0.00105313,-0.00141021
4.9,0.00113001,-0.00143339,0.00113002,-0.00143339,0.00113002,-0.00143339
4.92,0.0011975,-0.00144886,0.00119751,-0.00144886,0.00119751,-0.00144886
4.94,0.00125564,-0.00145686,0.00125565,-0.00145686,0.00125565,-0.00145686
4.96,0.0013045,-0.00145768,0.00130451,-0.00145768,0.00130451,-0.00145768
4.98,0.0013442,-0.0014516,0.0013442,-0.0014516,0.0013442,-0.0014516
5,0.00137488,-0.00143894,0.00137489,-0.00143894,0.00137489,-0.00143894
5.02,0.00139674,-0.00142002,0.00139674,-0.00142001,0.00139674,-0.00142001
5.04,0.00140999,-0.00139518,0.00140999,-0.00139517,0.00140999,-0.00139517
5.06,0.00141488,-0.00136477,0.00141489,-0.00136477,0.00141489,-0.00136477
5.08,0.0014117,-0.00132915,0.0014117,-0.00132915,0.0014117,-0.00132915
5.1,0.00140074,-0.0012887,0.00140075,-0.00128869,0.00140075,-0.00128869
5.12,0.00138233,-0.00124377,0.00138234,-0.00124377,0.00138234,-0.00124377
5.14,0.00135683,-0.00119477,0.00135683,-0.00119476,0.00135683,-0.00119476
5.16,0.00132458,-0.00114205,0.00132459,-0.00114205,0.00132459,-0.00114205
5.18,0.00128599,-0.00108601,0.001286,-0.00108601,0.001286,-0.00108601
5.2,0.00124145,-0.00102702,0.00124145,-0.00102702,0.00124145,-0.00102702
5.22,0.00119135,-0.000965472,0.00119136,-0.00096547,0.00119136,-0.00096547
5.24,0.00113614,-0.000901728,0.00113614,-0.000901725,0.00113614,-0.000901725
5.26,0.00107622,-0.00083616,0.00107622,-0.000836157,0.00107622,-0.000836157
5.28,0.00101203,-0.000769131,0.00101204,-0.000769128,0.00101204,-0.000769128
5.3,0.000944012,-0.000700995,0.000944015,-0.000700992,0.000944015,-0.000700993
